題號,題目,選擇A,選擇B,選擇C,選擇D,答案,圖片
1,一般電路可分為幾多類？,一類,兩類,三類,四類,D,
2,第三類電路是指：,低壓,高壓,消防,通訊,C,
3,作通訊用之蜂鳴電路視為：,第一類電路,第二類電路,第三類電路,第四類電路,B,
4,三相四線供電系統之其中一相開路時，會導致：,其餘兩相將沒有電流經過,其餘兩相不會受影響,其餘兩相電流會增加,其餘兩相電流會減少,B,
5,三相電路上的單相負荷需平衡接駁，其目的是：,確保各相的電壓相同,減少中性線電流流量,維持星點的狀態,確保電路上保護器有效的操作,B,
6,配電箱內選用不同顏色標誌的作用是：,識別線路,高低壓,美觀,方便安裝,A,
7,如固定器具額定電流超過多少安培，或在任何一相的額定電流值超過裝置的最高需求量的一半，應接駁三相電源：,15安培,30安培,60安培,100安培,B,
8,超過多少瓦的熱水器，必須先得到電力公司准許才能安裝？,3KW,4KW,6KW,8KW,C,
9,本港電力公司供電的交流電波形是：,方波,正弦波,鋸齒波,三角波,B,
10,那一種波形不屬於交流電：,A,B,C,D,B,Q10.png
11,交流電的頻率單位是：,安培,法拉,庫倫,赫茲,D,
12,頻率為50Hz的交流電，其週期為多少秒？,1,0.5,0.02,0.01,C,
13,在50Hz的頻率下光管每秒內會熄滅多少次？,2,50,100,200,C,
14,三相交流電路中，每相的相位差爲：,30°,45°,90°,120°,D,
15,橫過道路的電纜離地面應不少於多少米？,3m,5.2m,5.8m,6.5m,C,
16,橫過行人路的電纜離地面應不少於多少米？,3m,5.2m,5.8m,6.5m,B,
17,浴室內的熱水器，其接線箱應安裝在什麼位置？,熱水器旁的適當位置,室內雙極開關掣旁,室外適當位置,室外雙極開關掣旁,A,
18,架空電纜是以下列那一項作絕緣材料？,漆皮,空氣,瓦,聚氯乙稀,B,
19,橫跨樓宇間之架空PVC電線，其跨距不能超過多少米？,5.2m,5.8m,3m,30m,D,
20,根據《IEE佈線規例》，任何PVC電線作高空懸掛，必須要附有：,金屬拉線,保護導線,鋼質導管,金屬線槽,A,
21,用帶扣固定的電纜，其外直徑不應該超過多少？,10平方毫米,10毫米,25平方毫米,25毫米,B,
22,直接埋於地下的裝甲電纜如屬低壓，其深度最少為：,0.45m,1m,1.5m,足夠深度以避免受破壞,A,
